method,family,dof,degree,constraint_order,eval_point,estimate,truth,abs_error,strain_energy,elapsed_ms,empirical_rate,tuning_metadata
hermite_cubic,hermite_cubic,4,,,1.5,1.3392857142857144,1.329340388179137,0.00994532610657739,1.7142857142857144,0.4677080000000666,,
hermite_quintic,hermite_quintic,6,,,1.5,1.329939500904875,1.329340388179137,0.0005991127257378714,1.8258064516039667,3.1107080000000176,,
chebyshev,chebyshev,5,4,2,1.5,1.3069092629589412,1.329340388179137,0.022431125220195858,2.109717240941512,3.972458000000012,,
chebyshev,chebyshev,7,6,4,1.5,1.3080877627154883,1.329340388179137,0.0212526254636487,2.0847353773082324,0.23287499999991024,0.16039681224433758,
chebyshev,chebyshev,9,8,6,1.5,1.314083362465548,1.329340388179137,0.015257025713589112,2.378875801772234,0.2642500000000769,1.3188273420801577,
chebyshev,chebyshev,11,10,6,1.5,1.3296809896522694,1.329340388179137,0.00034060147313241806,3.4885357923723475,0.29049999999997134,18.946873515287063,
chebyshev,chebyshev,13,12,6,1.5,1.3282696485573875,1.329340388179137,0.001070739621749528,6.5560246317622735,0.3427080000000249,-6.856413196499751,
chebyshev,chebyshev,17,16,6,1.5,1.3056390292544113,1.329340388179137,0.02370135892472569,27.079272825996618,0.5217080000000651,-11.545279630889015,
chebyshev,chebyshev,21,20,6,1.5,1.2287358583344836,1.329340388179137,0.1006045298446534,93.41257372187896,0.5971670000000096,-6.841470353908437,
chebyshev,chebyshev,25,24,6,1.5,1.0654923016329603,1.329340388179137,0.26384808654617675,257.26342300275263,0.8397089999999663,-5.530011424695502,
