method,family,dof,degree,constraint_order,eval_point,estimate,truth,abs_error,strain_energy,elapsed_ms,empirical_rate,tuning_metadata
hermite_cubic,hermite_cubic,4,,,1.5,1.3392857142857144,1.329340388179137,0.00994532610657739,1.7142857142857144,0.22954099999994426,,
hermite_quintic,hermite_quintic,6,,,1.5,1.329939500904875,1.329340388179137,0.0005991127257378714,1.8258064516039667,3.7820419999999855,,
chebyshev,chebyshev,5,4,2,1.5,1.3069092629589412,1.329340388179137,0.022431125220195858,2.109717240941512,0.3151670000000051,,
chebyshev,chebyshev,7,6,4,1.5,1.3080877627154883,1.329340388179137,0.0212526254636487,2.0847353773082324,0.3509169999998951,0.16039681224433758,
chebyshev,chebyshev,9,8,6,1.5,1.314083362465548,1.329340388179137,0.015257025713589112,2.378875801772234,0.48920799999996323,1.3188273420801577,
chebyshev,chebyshev,11,10,6,1.5,1.3296809896522694,1.329340388179137,0.00034060147313241806,3.4885357923723475,0.5937500000000595,18.946873515287063,
chebyshev,chebyshev,13,12,6,1.5,1.3282696485573875,1.329340388179137,0.001070739621749528,6.5560246317622735,0.6908330000000573,-6.856413196499751,
chebyshev,chebyshev,17,16,6,1.5,1.3056390292544113,1.329340388179137,0.02370135892472569,27.079272825996618,0.9212499999999846,-11.545279630889015,
chebyshev,chebyshev,21,20,6,1.5,1.2287358583344836,1.329340388179137,0.1006045298446534,93.41257372187896,1.1824169999999912,-6.841470353908437,
chebyshev,chebyshev,25,24,6,1.5,1.0654923016329603,1.329340388179137,0.26384808654617675,257.26342300275263,1.6708330000000382,-5.530011424695502,
chebyshev_autotuned,chebyshev_autotuned,13,12,5,1.5,1.3296110977794884,1.329340388179137,0.0002707096003513598,6.5437781185303034,0.6770409999999893,,"{""constraint_order"": 5, ""degree"": 12, ""elapsed_ms"": 0.6492499999999346, ""max_abs_error"": 0.0002707096003513598, ""mean_abs_error"": 0.0002255913336262072, ""regularization"": 1e-06, ""schur_condition_number"": 6976672.066210209}"
