sequence,method,z,value,strain_energy,optimal_params
variable_base_tetration,hermite_cubic,0.5,0.751127165488991,1.3382761726927512,"{""left_derivative"": 0.3930142426287743, ""right_derivative"": 1.5448334283960743}"
variable_base_tetration,hermite_cubic,1.5,1.3560226017790877,1.3382761726927512,"{""left_derivative"": 0.3930142426287743, ""right_derivative"": 1.5448334283960743}"
variable_base_tetration,hermite_cubic,2.5,3.464301213167031,1.3382761726927512,"{""left_derivative"": 0.3930142426287743, ""right_derivative"": 1.5448334283960743}"
variable_base_tetration,hermite_cubic,3.5,76.70357148028415,1.3382761726927512,"{""left_derivative"": 0.3930142426287743, ""right_derivative"": 1.5448334283960743}"
variable_base_tetration,hermite_quintic,0.5,0.7428434256955467,1.450415389297632,"{""left_derivative"": 0.42798374434244846, ""left_second_derivative"": 0.21893034678919637, ""right_derivative"": 1.5933114514329132, ""right_second_derivative"": 1.9287900845504102}"
variable_base_tetration,hermite_quintic,1.5,1.351475677506794,1.450415389297632,"{""left_derivative"": 0.42798374434244846, ""left_second_derivative"": 0.21893034678919637, ""right_derivative"": 1.5933114514329132, ""right_second_derivative"": 1.9287900845504102}"
variable_base_tetration,hermite_quintic,2.5,3.4498979043136386,1.450415389297632,"{""left_derivative"": 0.42798374434244846, ""left_second_derivative"": 0.21893034678919637, ""right_derivative"": 1.5933114514329132, ""right_second_derivative"": 1.9287900845504102}"
variable_base_tetration,hermite_quintic,3.5,75.33194939811159,1.450415389297632,"{""left_derivative"": 0.42798374434244846, ""left_second_derivative"": 0.21893034678919637, ""right_derivative"": 1.5933114514329132, ""right_second_derivative"": 1.9287900845504102}"
variable_base_tetration,chebyshev,0.5,0.7511268168774324,1.3384447548250322,"{""left_derivative"": 0.3930145421764505, ""right_derivative"": 1.5448338436575162}"
variable_base_tetration,chebyshev,1.5,1.356022410105546,1.3384447548250322,"{""left_derivative"": 0.3930145421764505, ""right_derivative"": 1.5448338436575162}"
variable_base_tetration,chebyshev,2.5,3.464300604736401,1.3384447548250322,"{""left_derivative"": 0.3930145421764505, ""right_derivative"": 1.5448338436575162}"
variable_base_tetration,chebyshev,3.5,76.70351301535912,1.3384447548250322,"{""left_derivative"": 0.3930145421764505, ""right_derivative"": 1.5448338436575162}"
